dad;do-ascii-dump
da;do-ansible
daef;do-arc-extract-files
daf;do-arc-files
dafo;do-arc-folder
dagac;do-az-get-aks-credentials
dal;do-az-login
dalf;do-arc-list-folders
dar;do-arduino
dare;do-activate-release
dark;do-arkade
dat;do-activate-test
dbadf;do-bash-add-die-functions
dba;do-backup
dbc;do-bash-customization
dbd;do-backup-documents
db;do-bookmark
dbe;do-bash-env
dbf;do-backup-file
dbfo;do-backup-folder
dbm;do-backup-mydocuments
dbsf;do-backup-sav-files
dca;do-cmd-add
dcal;do-cmd-aliases
dcb;do-cd-bookmark
dcbk;do-cmd-backup
dcca;do-cmd-check-all
dcc;do-cli-cal
dcd;do-cmd-diff
dcdi;do-cli-dialog
dc;do-cmd
dce;do-cmd-edit
dcen;do-cmd-env
dcex;do-cmd-exe
dcf;do-cmd-find
dcfo;do-cd-folder
dcg;do-cmd-groups
dcgs;do-cmd-groups-slinks
dch;do-cmd-history
dci;do-cmd-index
dcld;do-cmd-list-dependencies
dcl;do-cmd-ls
dcli;do-cd-link
dcp;do-cd-path
dcrc;do-cli-repeat-command
dcr;do-cd-release
dcs;do-cmd-status
dct;do-cmd-tools
dcte;do-cli-terminal
dctes;do-cd-test
dctsm;do-cmd-tool-setup-multigit
dctww;do-cli-text-without-whitespaces
dcu;do-cmd-update
dda;do-data-anaconda
ddc;do-data-csv
ddch;do-deb-chroot
ddcl;do-deb-clean
ddh;do-deb-howto
ddpd;do-deb-pkg-depends
ddpf;do-deb-pkg-files
ddpff;do-deb-pkg-find-file
ddpi;do-deb-pkg-info
ddpin;do-deb-pkg-install
ddpl;do-deb-pkg-list
ddps;do-deb-pkg-search
ddpu;do-deb-pkg-update
dds;do-data-sheets
dduk;do-deb-update-keys
de;do-env-setup
dfc;do-fs-cp
dfcf;do-fs-count-files
dfcfe;do-fs-change-files-extension
dfcltf;do-fs-create-link-to-files
dfdf;do-find-dos-files
dffac;do-find-files-and-copy
dffar;do-find-files-and-replace
dff;do-find-files
dffi;do-find-filelines
dffo;do-find-folders
dffov;do-fs-files-overview
dffu;do-find-files-upward
dfjj;do-fs-json-join
dfl;do-find-links
dflf;do-fs-locate-folder
dfm;do-find-mom
dfmf;do-find-missing-files
dfn;do-find-notebook
dfns;do-fs-notebook-search
dfpfp;do-fs-print-file-path
dfr;do-find-release
dfrf;do-fs-rename-files
dfrs;do-fs-replace-string
dfsbrf;do-find-symbols-by-root-folder
dfs;do-find-string
dfsf;do-find-shared-folder
dfsfi;do-find-string-filtered
dfsy;do-find-symbols
dft;do-find-test
dftf;do-find-text-files
dftfi;do-find-twin-files
dfu;do-fs-uniondir
dfw;do-find-word
dfwf;do-fs-wiggle-files
dgaa;do-git-amend-author
dgaf;do-git-add-files
dgao;do-git-amend-old
dgbcc;do-git-branch-code-cleanup
dgb;do-git-backup
dgbdr;do-git-build-demo-repo
dgbfcr;do-git-branch-for-code-review
dgbl;do-git-blame
dgbr;do-git-branch
dgbs;do-git-branches-status
dgbv;do-git-bump-version
dgca;do-git-conf-author
dgcai;do-git-change-author-info
dgcbr;do-git-create-bare-repo
dgc;do-git-cfile
dgce;do-git-conf-editor
dgcl;do-git-clone
dgco;do-git-commit
dgcpbc;do-git-cherry-pick-branch-commits
dgcp;do-git-cherry-pick
dgctbr;do-git-conv-to-bare-repo
dgcu;do-git-commit-unstaged
dgcus;do-git-cat-user
dgda;do-git-diff-all
dgdc;do-git-diff-cached
dgdco;do-git-diff-committed
dgd;do-git-diff
dgdi;do-git-diff-ids
dgdp;do-git-diff-preview
dgds;do-git-diff-selected
dgdst;do-git-diff-stat
dgdwl;do-git-diff-with-linenumbers
dgdwp;do-git-diff-with-parents
dge;do-git-edit
dgex;do-git-export
dgfbmr;do-git-find-best-match-release
dgfca;do-git-find-common-ancestor
dgf;do-git-flow
dgfhc;do-git-find-history-change
dgflo;do-git-find-largest-objects
dgfp;do-git-find-parent
dgg;do-git-graph
dggpa;do-git-generate-patch-all
dggpb;do-git-get-parent-branch
dgh;do-git-help
dgi;do-git-ignore
dglb;do-git-log-branch
dgl;do-git-log
dglf;do-git-log-file
dgli;do-git-list-ignored
dgllcc;do-git-list-last-committed-changes
dgllcf;do-git-list-last-committed-files
dglm;do-git-list-modified
dglnm;do-git-log-no-merges
dglo;do-git-list-other
dglol;do-git-list-other-last
dgls;do-git-ls
dgltbr;do-git-link-to-bare-repo
dglt;do-git-list-tags
dgltf;do-git-list-tracked-files
dgltfhc;do-git-list-tracked-files-history-count
dglttbi;do-git-list-tracked-to-be-ignored
dgmb;do-git-merge-branch
dgpcar;do-git-print-common-ancestor-rev
dgpcc;do-git-print-clone-command
dgpccji;do-git-pre-commit-check-java-imports
dgpr;do-git-print-rev
dgpul;do-git-pull
dgpup;do-git-print-user-profile
dgpus;do-git-push
dgr;do-git-reset
dgsc;do-git-status-check
dgs;do-git-status
dgsfh;do-git-squash-file-history
dgsh;do-git-show
dgshi;do-git-show-history
dgsta;do-git-stash
dgst;do-git-standup
dgsw;do-git-switch
dgu;do-git-uncommit
dgur;do-git-update-remote
dgusf;do-git-uncommit-single-file
dhal;do-history-add-last
dhc;do-howto-commit
dhcr;do-howto-create
dhd;do-history-diagram
dhe;do-howto-edit
dhg;do-howto-git
dhgs;do-howto-gstreamer
dhl;do-howto-list
dhli;do-howto-linux
dhp;do-howto-print
dhs;do-howto-search
dhu;do-howto-update
dhup;do-history-update
dib;do-img-browser
dis;do-img-screenshot
dkc;do-k8s-ctx
dkkr;do-k8s-kind-registry
dkn;do-k8s-ns
dkt;do-k8s-tail
dnc;do-net-check
dnsc;do-net-ssh-connect
dns;do-net-stat
dor;do-oci-run
dpacl;do-pipe-aggregated-common-lines
dpa;do-project-activation
dpal;do-pipe-aggregated-lines
dpas;do-pdf-assemble
dpasi;do-pipe-arrays-sizes
dpc;do-project-creation
dpcfl;do-pipe-cfile-first-line
dpci;do-pipe-column-increment
dpco;do-pipe-columns
dpcp;do-pipe-cfile-paths
dpcs;do-pipe-columns-swapped
dpcst;do-pipe-compilation-steps
dpcsv;do-pipe-csv
dpctb;do-pipe-cmd-to-bash
dpct;do-pipe-cntlrless-text
dpctv;do-pipe-cfile-to-vim
dpcwc;do-pipe-code-without-comments
dp;do-plantuml
dpdp;do-pipe-diff-paths
dpds;do-pipe-diff-string
dpdsy;do-pipe-dumph-synthesis
dpdwl;do-pipe-diff-with-linenumbers
dpdwuw;do-pipe-diff-without-useless-whitespaces
dpfal;do-pipe-filename-and-linenumber
dpfc;do-pipe-files-content
dpfif;do-pipe-files-into-folder
dpfl;do-pipe-file-lines
dpfp;do-pipe-folders-paths
dpfs;do-pipe-files-strings
dpfsm;do-pipe-file-string-matches
dpftba;do-pipe-files-to-backup-archive
dpfwd;do-pipe-files-with-diffs
dpgcl;do-pipe-git-commit-log
dpgcp;do-pipe-git-commit-patch
dpgd;do-pipe-git-diff
dpglc;do-pipe-gdb-list-callstack
dphs;do-pipe-highlighted-string
dpjtr;do-pipe-joined-two-rows
dpln;do-pipe-lines-numbers
dpm;do-pipe-map
dpmr2;do-pipe-merged-rows-2
dpmr;do-pipe-merged-rows
dpmsr;do-pipe-master-slave-rows
dpmu;do-pipe-multilines
dpnel;do-pipe-no-empty-lines
dpnosc;do-pipe-number-of-semicolon-chars
dpntl;do-pipe-num-text-lines
dpo;do-pdf-open
dpplif;do-pipe-paths-links-in-folder
dppo;do-pipe-paths-of
dppt;do-pipe-pure-text
dpptv;do-pipe-paths-to-vim
dpr;do-pipe-rows
dpre;do-prepare-release
dpree;do-preexec
dps;do-pipe-sum
dpse;do-pandashells-setup
dpsfl;do-pipe-sed-file-lines
dpso;do-pipe-string-occurences
dpsto;do-pipe-sorted-text-objects
dpsw;do-pipe-splitted-words
dptb;do-pipe-text-blocks
dptcaf;do-pipe-to-console-and-file
dptc;do-pipe-to-cmd
dptco;do-pipe-to-command
dpt;do-pipe-trimmed
dptf;do-pipe-to-file
dptfl;do-pipe-table-from-list
dpth;do-pipe-to-howto
dptl;do-pipe-timeless-log
dptn;do-pipe-to-notebook
dptno;do-pipe-to-notes
dptpa;do-pipe-to-patch
dptpb;do-pipe-text-prefixed-by
dptp;do-pipe-table-prettyprinted
dpts;do-pipe-text-stringfied
dptt;do-pipe-to-tar
dptv;do-pipe-to-vim
dptwfwl;do-pipe-text-with-first-word-letter
dptwh;do-pipe-text-without-header
dptwue;do-pipe-text-with-unix-endofline
dptww;do-pipe-text-without-whitespaces
dptwwi;do-pipe-text-without-words-in
dpu;do-pipe-uniq
dpup;do-pipe-uppercase
dpwdb;do-pipe-words-delimited-by
dpw;do-pdf-watermarking
dpwi;do-pipe-words-in
dpwo;do-pipe-words
dpwt;do-pipe-wrapped-text
dsau;do-sys-add-user
dsautg;do-sys-add-user-to-group
dsd;do-sec-decrypt
dsdf;do-sec-decrypt-file
ds;do-semver
dsdu;do-sys-du
dse;do-sec-encrypt
dsef;do-sec-encrypt-file
dsi;do-sys-info
dsl;do-sys-link
dsldu;do-sys-list-disk-usage
dsllp;do-setup-ld-library-path
dsmf;do-sec-mount-folder
dsp;do-sys-path
dspsak;do-sys-proc-search-and-kill
dsr;do-sys-readelf
dsrs;do-sys-rm-securely
dss;do-sec-sops
dsssf;do-sys-smb-share-folder
dst;do-setup-test
dsu;do-sec-usbkey
dsuf;do-sec-umount-folder
dsun;do-sys-unlink
dsup;do-super
dt;do-task
dtes;do-tf-env-setup
dti;do-tf-init
dtwr;do-tf-workspace-repos
dvd;do-vim-diff
dv;do-vim
dvlp;do-vim-list-paths
dvm;do-vim-make
dvp;do-vim-plugs
dwd;do-web-dump
dw;do-wezterm
dwe;do-wezterm.patch
dwm;do-web-man
dwss;do-web-search-stackoverflow
dww;do-web-wikipedia2text
dwwq;do-web-wikipedia-query
